name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam, Noord-Holland, Nederland",2009-04-27,15.3,9.9,11.8,15.3,8.6,11.7,8,79.1,2.618,100,12.5,rain,0,0,58.9,35.3,187.5,,79.7,21.4,,,,,2009-04-27T06:17:18,2009-04-27T20:59:47,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-28,11.9,6.5,10.2,11.9,5.2,9.7,6.7,79.4,2.25,100,8.33,rain,0,0,31.7,17.1,175.7,1002.6,88.6,29.6,,,,,2009-04-28T06:15:17,2009-04-28T21:01:30,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-29,15.6,4.3,10.4,15.6,2.8,10.2,6.2,77.5,0,0,0,,0,0,21.9,13.9,81.2,,42,14.2,,,,,2009-04-29T06:13:18,2009-04-29T21:03:12,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-04-30,18.5,6.3,12.5,18.5,4.9,12.1,6.6,70.2,0,0,0,,0,0,27.4,17.4,87.4,,14.2,14.7,,,,,2009-04-30T06:11:20,2009-04-30T21:04:55,0.19,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-01,19.8,7.3,13.6,19.8,5.5,13.4,8.8,73.9,0,0,0,,0,0,30.9,20,1.7,1022,15.5,17.3,,,,,2009-05-01T06:09:23,2009-05-01T21:06:37,0.25,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-02,16.4,8,12.3,16.4,6.2,11.9,8.8,80.2,0,0,0,,0,0,31,19.8,258.2,,26.7,16.8,,,,,2009-05-02T06:07:27,2009-05-02T21:08:19,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-03,12.7,7.5,10,12.7,5,9.2,7.2,83.8,0.626,100,4.17,rain,0,0,47,35.9,275,,77.2,15.4,,,,,2009-05-03T06:05:33,2009-05-03T21:10:00,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-04,13.4,5.3,9.6,13.4,2.9,9,4.2,70.2,0,0,0,,0,0,36.5,26.7,264.6,,42.3,35.3,,,,,2009-05-04T06:03:40,2009-05-04T21:11:41,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-05,13.2,9.6,11.6,13.2,6.3,11,9.5,87.2,1.014,100,12.5,rain,0,0,44.8,33.4,254.7,,99.4,14.6,,,,,2009-05-05T06:01:49,2009-05-05T21:13:22,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-06,14.5,10.8,12.6,14.5,10.8,12.6,9.8,83.3,5.176,100,12.5,rain,0,0,55.3,34.3,250.7,,97.6,14.2,,,,,2009-05-06T05:59:59,2009-05-06T21:15:02,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
